subscription_id,user_id,churn_date,churn_reason,mrr
50002,10002,2025-11-10,Switched to direct competitor,15.0
50003,10003,2024-04-03,Switched to direct competitor,15.0
50004,10004,2022-08-17,Missing features or platform limitations,15.0
50005,10005,2023-09-26,Price is too high / Budget cuts,15.0
50007,10007,2025-12-15,Technical support backlog / unresolved SLA,15.0
50009,10009,2024-12-10,Price is too high / Budget cuts,15.0
50010,10010,2025-10-31,Underutilization / poor feature onboarding,15.0
50011,10011,2025-12-16,Price is too high / Budget cuts,15.0
50012,10012,2023-03-12,Price is too high / Budget cuts,99.0
50013,10013,2024-09-30,Price is too high / Budget cuts,15.0
50019,10019,2025-04-23,Price is too high / Budget cuts,15.0
50020,10020,2025-12-07,Technical support backlog / unresolved SLA,15.0
50023,10023,2024-01-29,Underutilization / poor feature onboarding,99.0
50026,10026,2022-06-10,Price is too high / Budget cuts,15.0
50029,10029,2024-07-13,Underutilization / poor feature onboarding,15.0
50030,10030,2023-11-29,Underutilization / poor feature onboarding,15.0
50033,10033,2025-06-25,Switched to direct competitor,99.0
50034,10034,2025-04-25,Underutilization / poor feature onboarding,15.0
50037,10037,2024-08-02,Underutilization / poor feature onboarding,15.0
50042,10042,2025-06-04,Missing features or platform limitations,15.0
50043,10043,2024-10-12,Switched to direct competitor,15.0
50044,10044,2025-10-11,Switched to direct competitor,15.0
50045,10045,2023-04-16,Switched to direct competitor,15.0
50046,10046,2025-02-07,Underutilization / poor feature onboarding,15.0
50048,10048,2023-09-15,Switched to direct competitor,15.0
50051,10051,2025-09-11,Price is too high / Budget cuts,15.0
50052,10052,2025-03-27,Price is too high / Budget cuts,15.0
50053,10053,2024-03-22,Price is too high / Budget cuts,15.0
50055,10055,2024-11-26,Switched to direct competitor,15.0
50058,10058,2023-06-29,Price is too high / Budget cuts,15.0
50060,10060,2025-06-09,Missing features or platform limitations,15.0
50068,10068,2025-04-12,Switched to direct competitor,15.0
50070,10070,2024-06-28,Switched to direct competitor,99.0
50071,10071,2025-12-26,Underutilization / poor feature onboarding,15.0
50078,10078,2025-08-01,Technical support backlog / unresolved SLA,15.0
50079,10079,2024-05-30,Switched to direct competitor,499.0
50081,10081,2025-12-06,Technical support backlog / unresolved SLA,499.0
50084,10084,2025-03-27,Price is too high / Budget cuts,15.0
50087,10087,2024-08-27,Price is too high / Budget cuts,15.0
50088,10088,2025-01-03,Price is too high / Budget cuts,15.0
50089,10089,2025-09-14,Missing features or platform limitations,99.0
50091,10091,2025-09-05,Underutilization / poor feature onboarding,15.0
50092,10092,2024-04-28,Underutilization / poor feature onboarding,99.0
50095,10095,2025-05-20,Price is too high / Budget cuts,15.0
50096,10096,2025-04-01,Price is too high / Budget cuts,15.0
50097,10097,2025-02-08,Technical support backlog / unresolved SLA,15.0
50100,10100,2025-02-04,Price is too high / Budget cuts,15.0
50103,10103,2024-11-27,Price is too high / Budget cuts,99.0
50104,10104,2024-11-27,Switched to direct competitor,15.0
50107,10107,2024-07-07,Price is too high / Budget cuts,15.0
50109,10109,2023-06-27,Underutilization / poor feature onboarding,15.0
50111,10111,2025-12-19,Switched to direct competitor,499.0
50112,10112,2025-07-10,Switched to direct competitor,15.0
50115,10115,2025-12-04,Underutilization / poor feature onboarding,99.0
50117,10117,2025-07-11,Missing features or platform limitations,15.0
50118,10118,2025-12-17,Underutilization / poor feature onboarding,15.0
50125,10125,2024-06-15,Technical support backlog / unresolved SLA,15.0
50132,10132,2024-11-12,Price is too high / Budget cuts,15.0
50133,10133,2023-08-18,Price is too high / Budget cuts,15.0
50134,10134,2025-10-29,Missing features or platform limitations,99.0
50135,10135,2024-07-09,Underutilization / poor feature onboarding,15.0
50136,10136,2025-02-24,Underutilization / poor feature onboarding,15.0
50137,10137,2024-05-12,Underutilization / poor feature onboarding,15.0
50138,10138,2025-01-28,Underutilization / poor feature onboarding,15.0
50139,10139,2025-01-14,Missing features or platform limitations,99.0
50141,10141,2025-04-04,Switched to direct competitor,15.0
50142,10142,2025-12-20,Underutilization / poor feature onboarding,499.0
50143,10143,2024-09-30,Price is too high / Budget cuts,15.0
50148,10148,2024-07-20,Price is too high / Budget cuts,15.0
50150,10150,2025-10-14,Missing features or platform limitations,499.0
50154,10154,2025-07-15,Technical support backlog / unresolved SLA,99.0
50155,10155,2025-12-17,Underutilization / poor feature onboarding,15.0
50157,10157,2024-09-11,Price is too high / Budget cuts,15.0
50158,10158,2024-05-29,Price is too high / Budget cuts,15.0
50159,10159,2024-03-10,Price is too high / Budget cuts,15.0
50163,10163,2024-05-16,Price is too high / Budget cuts,15.0
50164,10164,2025-11-16,Switched to direct competitor,15.0
50168,10168,2025-07-27,Missing features or platform limitations,99.0
50171,10171,2025-03-18,Switched to direct competitor,15.0
50172,10172,2022-05-04,Missing features or platform limitations,15.0
50173,10173,2024-09-04,Technical support backlog / unresolved SLA,15.0
50174,10174,2025-12-03,Switched to direct competitor,15.0
50175,10175,2025-12-14,Underutilization / poor feature onboarding,99.0
50176,10176,2024-11-09,Missing features or platform limitations,15.0
50179,10179,2025-09-20,Price is too high / Budget cuts,15.0
50181,10181,2023-04-05,Price is too high / Budget cuts,15.0
50190,10190,2024-07-18,Price is too high / Budget cuts,15.0
50193,10193,2023-04-01,Underutilization / poor feature onboarding,15.0
50195,10195,2025-12-20,Missing features or platform limitations,15.0
50196,10196,2025-12-03,Price is too high / Budget cuts,15.0
50198,10198,2025-03-22,Technical support backlog / unresolved SLA,15.0
50200,10200,2024-06-25,Price is too high / Budget cuts,99.0
50202,10202,2025-06-28,Price is too high / Budget cuts,15.0
50203,10203,2025-08-20,Switched to direct competitor,15.0
50205,10205,2025-03-17,Underutilization / poor feature onboarding,15.0
50209,10209,2025-08-28,Price is too high / Budget cuts,15.0
50210,10210,2025-12-09,Price is too high / Budget cuts,99.0
50212,10212,2025-08-25,Price is too high / Budget cuts,15.0
50213,10213,2025-12-26,Missing features or platform limitations,15.0
50219,10219,2024-03-14,Underutilization / poor feature onboarding,15.0
50220,10220,2023-10-22,Price is too high / Budget cuts,15.0
50222,10222,2025-12-19,Underutilization / poor feature onboarding,15.0
50224,10224,2023-12-02,Switched to direct competitor,15.0
50226,10226,2025-12-22,Price is too high / Budget cuts,15.0
50227,10227,2024-07-28,Missing features or platform limitations,99.0
50231,10231,2025-09-13,Underutilization / poor feature onboarding,99.0
50232,10232,2025-04-07,Price is too high / Budget cuts,15.0
50234,10234,2024-03-22,Missing features or platform limitations,499.0
50236,10236,2025-12-26,Technical support backlog / unresolved SLA,99.0
50238,10238,2025-12-04,Price is too high / Budget cuts,499.0
50240,10240,2023-06-19,Underutilization / poor feature onboarding,15.0
50243,10243,2025-07-29,Underutilization / poor feature onboarding,15.0
50245,10245,2023-07-01,Switched to direct competitor,15.0
50246,10246,2023-02-15,Switched to direct competitor,15.0
50248,10248,2025-12-15,Switched to direct competitor,99.0
50249,10249,2024-12-30,Switched to direct competitor,15.0
50250,10250,2024-02-13,Price is too high / Budget cuts,15.0
50252,10252,2024-10-28,Underutilization / poor feature onboarding,15.0
50255,10255,2023-12-05,Underutilization / poor feature onboarding,99.0
50257,10257,2025-04-04,Technical support backlog / unresolved SLA,99.0
50258,10258,2023-05-10,Switched to direct competitor,15.0
50259,10259,2024-11-19,Switched to direct competitor,15.0
50262,10262,2025-03-19,Technical support backlog / unresolved SLA,99.0
50264,10264,2025-10-24,Technical support backlog / unresolved SLA,15.0
50265,10265,2024-06-24,Price is too high / Budget cuts,15.0
50267,10267,2023-02-08,Missing features or platform limitations,15.0
50269,10269,2024-12-06,Technical support backlog / unresolved SLA,99.0
50271,10271,2024-05-30,Price is too high / Budget cuts,15.0
50276,10276,2024-01-02,Price is too high / Budget cuts,15.0
50280,10280,2024-04-10,Switched to direct competitor,99.0
50281,10281,2025-12-16,Underutilization / poor feature onboarding,15.0
50283,10283,2023-10-24,Price is too high / Budget cuts,15.0
50284,10284,2025-04-07,Switched to direct competitor,15.0
50285,10285,2024-05-13,Switched to direct competitor,15.0
50286,10286,2025-05-22,Missing features or platform limitations,15.0
50288,10288,2023-01-22,Technical support backlog / unresolved SLA,15.0
50291,10291,2024-05-10,Underutilization / poor feature onboarding,15.0
50295,10295,2023-12-24,Price is too high / Budget cuts,15.0
50300,10300,2024-12-16,Price is too high / Budget cuts,15.0
50305,10305,2025-06-20,Switched to direct competitor,15.0
50307,10307,2025-02-12,Price is too high / Budget cuts,15.0
50308,10308,2024-11-24,Price is too high / Budget cuts,15.0
50311,10311,2023-09-12,Switched to direct competitor,15.0
50313,10313,2025-07-29,Price is too high / Budget cuts,15.0
50314,10314,2024-09-26,Technical support backlog / unresolved SLA,15.0
50315,10315,2025-02-15,Missing features or platform limitations,15.0
50316,10316,2024-11-10,Underutilization / poor feature onboarding,499.0
50317,10317,2025-10-07,Switched to direct competitor,99.0
50321,10321,2022-12-10,Price is too high / Budget cuts,15.0
50323,10323,2024-03-06,Missing features or platform limitations,99.0
50324,10324,2025-09-08,Underutilization / poor feature onboarding,15.0
50328,10328,2025-05-29,Underutilization / poor feature onboarding,15.0
50331,10331,2025-08-08,Price is too high / Budget cuts,15.0
50332,10332,2025-01-08,Price is too high / Budget cuts,15.0
50333,10333,2025-03-07,Switched to direct competitor,15.0
50335,10335,2025-05-19,Underutilization / poor feature onboarding,15.0
50338,10338,2024-09-06,Technical support backlog / unresolved SLA,15.0
50339,10339,2025-11-04,Switched to direct competitor,15.0
50340,10340,2024-01-01,Technical support backlog / unresolved SLA,15.0
50343,10343,2024-04-17,Switched to direct competitor,15.0
50345,10345,2024-07-12,Price is too high / Budget cuts,15.0
50347,10347,2024-02-23,Switched to direct competitor,15.0
50348,10348,2024-06-24,Missing features or platform limitations,15.0
50350,10350,2025-12-03,Price is too high / Budget cuts,15.0
50351,10351,2024-01-31,Price is too high / Budget cuts,15.0
50352,10352,2024-07-04,Switched to direct competitor,15.0
50353,10353,2023-05-02,Price is too high / Budget cuts,15.0
50355,10355,2025-03-21,Switched to direct competitor,15.0
50356,10356,2024-08-03,Price is too high / Budget cuts,15.0
50365,10365,2025-04-15,Underutilization / poor feature onboarding,99.0
50367,10367,2024-01-01,Technical support backlog / unresolved SLA,99.0
50368,10368,2025-12-11,Missing features or platform limitations,15.0
50370,10370,2025-04-07,Switched to direct competitor,99.0
50375,10375,2023-03-01,Missing features or platform limitations,99.0
50382,10382,2024-03-30,Switched to direct competitor,15.0
50386,10386,2025-05-20,Underutilization / poor feature onboarding,99.0
50388,10388,2025-06-28,Price is too high / Budget cuts,15.0
50393,10393,2025-02-27,Price is too high / Budget cuts,15.0
50396,10396,2025-03-09,Technical support backlog / unresolved SLA,15.0
50397,10397,2024-07-16,Price is too high / Budget cuts,15.0
50399,10399,2023-12-03,Switched to direct competitor,15.0
50400,10400,2024-01-03,Underutilization / poor feature onboarding,15.0
50403,10403,2022-11-22,Switched to direct competitor,15.0
50406,10406,2025-02-22,Missing features or platform limitations,15.0
50407,10407,2023-04-25,Missing features or platform limitations,99.0
50408,10408,2023-10-04,Underutilization / poor feature onboarding,99.0
50409,10409,2025-12-08,Underutilization / poor feature onboarding,99.0
50412,10412,2025-05-22,Missing features or platform limitations,99.0
50415,10415,2025-04-03,Missing features or platform limitations,15.0
50416,10416,2025-12-05,Price is too high / Budget cuts,15.0
50417,10417,2025-07-03,Switched to direct competitor,15.0
50422,10422,2025-02-01,Price is too high / Budget cuts,15.0
50425,10425,2023-10-25,Missing features or platform limitations,15.0
50428,10428,2024-03-09,Switched to direct competitor,15.0
50429,10429,2023-12-30,Technical support backlog / unresolved SLA,15.0
50431,10431,2025-01-08,Switched to direct competitor,99.0
50433,10433,2024-10-20,Price is too high / Budget cuts,15.0
50435,10435,2025-08-31,Technical support backlog / unresolved SLA,15.0
50440,10440,2025-10-06,Price is too high / Budget cuts,99.0
50446,10446,2025-12-08,Underutilization / poor feature onboarding,99.0
50448,10448,2024-12-18,Price is too high / Budget cuts,15.0
50449,10449,2025-06-10,Missing features or platform limitations,15.0
50450,10450,2025-04-13,Underutilization / poor feature onboarding,15.0
50455,10455,2024-10-19,Switched to direct competitor,15.0
50457,10457,2025-08-07,Underutilization / poor feature onboarding,99.0
50458,10458,2025-12-14,Price is too high / Budget cuts,15.0
50460,10460,2023-11-19,Switched to direct competitor,499.0
50461,10461,2024-06-10,Switched to direct competitor,15.0
50462,10462,2025-08-14,Switched to direct competitor,15.0
50463,10463,2023-10-12,Switched to direct competitor,15.0
50467,10467,2024-12-31,Underutilization / poor feature onboarding,99.0
50469,10469,2024-01-02,Switched to direct competitor,15.0
50474,10474,2025-10-20,Price is too high / Budget cuts,15.0
50475,10475,2024-07-17,Price is too high / Budget cuts,15.0
50477,10477,2024-10-23,Price is too high / Budget cuts,15.0
50478,10478,2023-03-30,Price is too high / Budget cuts,99.0
50486,10486,2025-12-12,Switched to direct competitor,499.0
50488,10488,2025-06-15,Switched to direct competitor,15.0
50489,10489,2025-01-18,Underutilization / poor feature onboarding,99.0
50490,10490,2025-03-22,Switched to direct competitor,99.0
50494,10494,2025-09-02,Price is too high / Budget cuts,15.0
50495,10495,2025-10-05,Missing features or platform limitations,15.0
50496,10496,2023-04-24,Underutilization / poor feature onboarding,99.0
50497,10497,2022-10-27,Price is too high / Budget cuts,15.0
50500,10500,2024-10-01,Technical support backlog / unresolved SLA,15.0
50502,10502,2023-08-25,Technical support backlog / unresolved SLA,499.0
50505,10505,2024-05-28,Switched to direct competitor,15.0
50508,10508,2024-08-29,Price is too high / Budget cuts,15.0
50509,10509,2024-10-09,Price is too high / Budget cuts,15.0
50510,10510,2024-12-06,Price is too high / Budget cuts,15.0
50512,10512,2025-12-31,Technical support backlog / unresolved SLA,99.0
50513,10513,2025-11-25,Missing features or platform limitations,499.0
50514,10514,2025-10-26,Price is too high / Budget cuts,15.0
50516,10516,2024-12-23,Switched to direct competitor,15.0
50517,10517,2024-10-29,Price is too high / Budget cuts,15.0
50521,10521,2024-08-17,Switched to direct competitor,15.0
50526,10526,2024-09-16,Switched to direct competitor,15.0
50527,10527,2025-05-21,Technical support backlog / unresolved SLA,99.0
50531,10531,2023-08-03,Switched to direct competitor,15.0
50533,10533,2025-12-23,Price is too high / Budget cuts,15.0
50534,10534,2024-03-10,Switched to direct competitor,15.0
50535,10535,2025-12-17,Technical support backlog / unresolved SLA,99.0
50536,10536,2024-10-15,Underutilization / poor feature onboarding,99.0
50537,10537,2025-01-05,Underutilization / poor feature onboarding,99.0
50539,10539,2024-04-09,Price is too high / Budget cuts,15.0
50541,10541,2023-04-13,Technical support backlog / unresolved SLA,15.0
50542,10542,2025-12-10,Price is too high / Budget cuts,15.0
50546,10546,2023-04-04,Switched to direct competitor,99.0
